"idx","file","title","caption","date","ts"
"127","ig-127.jpg","CUHK College Info # 1 Original Colleges","CUHK College Info # 1 Original Colleges  Traditions  Sunsets  Activities Three colleges, three different experiences. Which one sounds most like you?  Swipe to discover Chung Chi, New Asia, and United College at CUHK!  We have tagged their official Instagram and their international student commun...","Jun 2026","1781502870"
"128","ig-128.jpg","The mastermind behind our magical events! Our event managers are re...","The mastermind behind our magical events! Our event managers are ready to bring people together and create unforgettable experiences for everyone Well, since our event managers are too ready to work so self intro is a bit too long to put in this caption. So please find it in our comment section!","May 2026","1778907863"
"129","ig-129.jpg","Ctrl + alt + success! Our IT managers are ready to ensure everythin...","Ctrl + alt + success! Our IT managers are ready to ensure everything runs smooth - no lags allowed Wee : Hello everyone! I'm Wee and I'm the IT manager in ISA. I'm from thailand and I'm half chinese. 你好. I'm in mechanical and automation engineering. Please Feel free to approach me :) Hieu : Yo gu...","May 2026","1778909400"
"130","ig-130.jpg","LAST CALL: POD LEADER REGISTRATION","LAST CALL: POD LEADER REGISTRATION  It's 2 DAYS BEFORE registration is officially closed - and you haven't applied yet?  Better hurry, because the spots are already filled with amazing people you'll want to know and work with!  Don't miss you chance! APPLY HERE + Link in bio https://docs.google.c...","May 2026","1779876672"
"131","ig-131.jpg","Remember those first-year nerves?","Remember those first-year nerves?  Now's your chance to give back! Become an iBuddy mentor at CUHK!  We're looking for senior students (Year 2 and above) to help incoming freshmen feel at home on campus.   As a mentor, you'll connect with 1-2 mentees through group chats or fun meet-ups. Share you...","Jul 2025","1752149162"
"132","ig-132.jpg","The wait is over - ISA's 17th Cabinet is here!","The wait is over - ISA's 17th Cabinet is here!  With new crew, new vibes, same unstoppable ISA spirit, we are ready to make waves  Buckle up, because this ride is just getting started!","May 2026","1778922000"
"133","ig-133.jpg","WE SEE YOU, FRESHMEN!","WE SEE YOU, FRESHMEN!  A massive thank you to everyone who joined our ISA Meet & Greet! The energy was everything! We loved meeting each and every one of you and can't wait for all the events we have planned this year. Get ready for a year of fun, friendship, and fantastic memories! Welcome to th...","Sep 2025","1757937096"
"134","ig-134.jpg","LAST CALL: POD LEADER REGISTRATION","LAST CALL: POD LEADER REGISTRATION  It's 2 DAYS BEFORE registration is officially closed - and you haven't applied yet?  Better hurry, because the spots are already filled with amazing people you'll want to know and work with!  Don't miss you chance! APPLY HERE + Link in bio https://docs.google.c...","May 2026","1779876672"
"135","ig-135.jpg","CUHK College Info # 1 Original Colleges","CUHK College Info # 1 Original Colleges  Traditions  Sunsets  Activities Three colleges, three different experiences. Which one sounds most like you?  Swipe to discover Chung Chi, New Asia, and United College at CUHK!  We have tagged their official Instagram and their international student commun...","Jun 2026","1781502870"
"136","ig-136.jpg","Get ready to show off your skills with your best duo with the CLASH...","Get ready to show off your skills with your best duo with the CLASH 2V2 Tournament!! Rules: - ‍‍ Pick your own teammates - Maximum of 1 evolution per deck allowed - Maximum of 1 Champions will be allowed per deck - ‍ Heros are NOT allowed - All games will be recorded - Onsite finale (Top 4) will...","Dec 2025","1765804197"
"137","ig-137.jpg","Thanks for coming! We had so much fun!","Thanks for coming! We had so much fun! #chalkparty #thechineseuniversityofhongkong #cuhkisa","Feb 2026","1770983121"
"138","ig-138.jpg","CUHK College info # 2 : Small Colleges","CUHK College info # 2 : Small Colleges  One thing these colleges have in common? Dinner is a social event. Meet the three residential colleges of CUHK:  Morningside - The Oxbridge Experience  S.H. Ho - The Residential Family  C.W. Chu - The Changemakers Swipe to see which community feels most lik...","Jun 2026","1781769651"
"139","ig-139.jpg","Join the 17th Cabinet of the CUHK International Student Association!","Join the 17th Cabinet of the CUHK International Student Association!  Are you ready to make a difference? Here's how you can be part of our vibrant team:  As an ExCo Member, You Will: - Host Exciting Events throughout the year - Be the Voice of student concerns  - Collaborate with various univers...","Jan 2026","1768921922"
"140","ig-140.jpg","CUHK College info # 2 : Small Colleges","CUHK College info # 2 : Small Colleges  One thing these colleges have in common? Dinner is a social event. Meet the three residential colleges of CUHK:  Morningside - The Oxbridge Experience  S.H. Ho - The Residential Family  C.W. Chu - The Changemakers Swipe to see which community feels most lik...","Jun 2026","1781769651"
"141","ig-141.jpg","Here's why YOU should become a POD Leader for ISA Meet & Greet 2026","Here's why YOU should become a POD Leader for ISA Meet & Greet 2026  Free merch. Free food. New friendships. Core memories.  What more could you ask for? ‍ Be the person who welcomes freshmen, leads the chaos, and creates an unforgettable orientation experience for your POD  Swipe to see the perk...","May 2026","1779370423"
"142","ig-142.jpg","CUHK ISA Wrapped: 2025 Edition!","CUHK ISA Wrapped: 2025 Edition! As we approach the end of the year, let's take a moment to reflect on an unforgettable journey together!  From surviving group projects to conquering exams, we did it all-together!  Cheers to making mind-blowing memories and mastering the art of procrastination. Wi...","Dec 2025","1765459523"
"143","ig-143.jpg","Here's why YOU should become a POD Leader for ISA Meet & Greet 2026","Here's why YOU should become a POD Leader for ISA Meet & Greet 2026  Free merch. Free food. New friendships. Core memories.  What more could you ask for? ‍ Be the person who welcomes freshmen, leads the chaos, and creates an unforgettable orientation experience for your POD  Swipe to see the perk...","May 2026","1779370423"
"144","ig-144.jpg","officially beginning this new 17th chapter together","officially beginning this new 17th chapter together  Thank you to everyone who attended and celebrated with us, as well as to all the student societies and friends who sent their support and warm wishes despite not being able to join us in person. We truly appreciate all the encouragement and loo...","May 2026","1778650393"
"145","ig-145.jpg","We want YOU on our team!","We want YOU on our team!  ISA is now recruiting POD Leaders for ISA Meet-and-Greet Days 2026!  Once, you were the one stepping into CUHK with questions, nerves, and excitement. Now, it's your turn to be that familiar face who helps freshmen feel welcomed, guided, and at home.  This is your chance...","May 2026","1779107494"
"146","ig-146.jpg","CUHK ISA Wrapped: 2025 Edition!","CUHK ISA Wrapped: 2025 Edition! As we approach the end of the year, let's take a moment to reflect on an unforgettable journey together!  From surviving group projects to conquering exams, we did it all-together!  Cheers to making mind-blowing memories and mastering the art of procrastination. Wi...","Dec 2025","1765459523"
"147","ig-147.jpg","Remember those first-year nerves?","Remember those first-year nerves?  Now's your chance to give back! Become an iBuddy mentor at CUHK!  We're looking for senior students (Year 2 and above) to help incoming freshmen feel at home on campus.   As a mentor, you'll connect with 1-2 mentees through group chats or fun meet-ups. Share you...","Jul 2025","1752141887"
"148","ig-148.jpg","Remember those first-year nerves?","Remember those first-year nerves?  Now's your chance to give back! Become an iBuddy mentor at CUHK!  We're looking for senior students (Year 2 and above) to help incoming freshmen feel at home on campus.   As a mentor, you'll connect with 1-2 mentees through group chats or fun meet-ups. Share you...","Jul 2025","1752141887"
"149","ig-149.jpg","Get ready for an extraordinary culinary experience at Dai Pai Dong,...","Get ready for an extraordinary culinary experience at Dai Pai Dong, proudly presented by ISA!  Join us on September 25th,starting at 7 PM, for an evening bursting with delicious dishes, a vibrant atmosphere, and unforgettable moments.    It's FREE for ISA Members and just HKD120for non-members....","Sep 2025","1758014020"
"150","ig-150.jpg","We're excited to welcome you to The 2026 PrepAsia × ISA Bootcamp -...","We're excited to welcome you to The 2026 PrepAsia × ISA Bootcamp - a free, 2-day immersive experience built for CUHK international and minority students ready to break into Hong Kong's competitive job market.  Join us for interactive workshops, real talk from experienced CUHK alumni, and curated...","Mar 2026","1774025622"
"151","ig-151.jpg","Remember those first-year nerves?","Remember those first-year nerves?  Now's your chance to give back! Become an iBuddy mentor at CUHK!  We're looking for senior students (Year 2 and above) to help incoming freshmen feel at home on campus.   As a mentor, you'll connect with 1-2 mentees through group chats or fun meet-ups. Share you...","Jul 2025","1752146664"
"152","ig-152.jpg","""Got a hennesy in my hand one more time 'fore I go.""","""Got a hennesy in my hand one more time 'fore I go."" A 2016 throwback night full of iconic 2010s hits, neon colors, and dancefloor memories you forgot you had  Come dressed white to sweat, paint, scream lyrics, and relive your lush life. Time's running closer. Get in before it's too late Time: Ja...","Jan 2026","1769279931"
"153","ig-153.jpg","Get ready for the exciting CLASH 2V2 with @isa.cuhk-coming soon!","Get ready for the exciting CLASH 2V2 with @isa.cuhk-coming soon!  Rules: - ‍‍ Pick your own teammates - Maximum of 1 evolution per deck allowed - All games will be recorded - Onsite finale (Top 4) will be broadcast with a live audience Tournament Structure: - First Round:  - Expecting 24 teams  -...","Dec 2025","1765796518"
"154","ig-154.jpg","Thank you everyone who came to the 2026 PrepAsia × ISA Bootcamp! We...","Thank you everyone who came to the 2026 PrepAsia × ISA Bootcamp! We hope you learned something valuable, found new perspectives, and feel more confident about your next steps in Hong Kong's job market.  Huge thanks to @prepasia_community and @myles.ng for making it happen!  Follow the PrepAsia Co...","Apr 2026","1775992081"
"155","ig-155.jpg","Find the support system you need!","Find the support system you need!   Join us for the ISA CUHK X HKUST Jockey Club Career Workshop where opportunity meets ambition!  Date:28 November   Time: 6:30 PM - 8 PM  YIA 402 Sign up to receive light snacks and refreshments at the event!  Register here : https://forms.gle/tNBsvqZnGX1dmdmj8...","Nov 2025","1763654766"
"156","ig-156.jpg","Remember those first-year nerves?","Remember those first-year nerves?  Now's your chance to give back! Become an iBuddy mentor at CUHK!  We're looking for senior students (Year 2 and above) to help incoming freshmen feel at home on campus.   As a mentor, you'll connect with 1-2 mentees through group chats or fun meet-ups. Share you...","Jul 2025","1752146664"
"157","ig-157.jpg","WE SEE YOU, FRESHMEN!","WE SEE YOU, FRESHMEN!  A massive thank you to everyone who joined our ISA Meet & Greet today! The energy was everything! We loved meeting each and every one of you and can't wait for all the events we have planned this year. Get ready for a year of fun, friendship, and fantastic memories! Welcome...","Sep 2025","1757918150"
"158","ig-158.jpg","WE SEE YOU, FRESHMEN!","WE SEE YOU, FRESHMEN!  A massive thank you to everyone who joined our ISA Meet & Greet today! The energy was everything! We loved meeting each and every one of you and can't wait for all the events we have planned this year. Get ready for a year of fun, friendship, and fantastic memories! Welcome...","Sep 2025","1757918150"
"159","ig-159.jpg","Get ready for the exciting CLASH 2V2 with @isa.cuhk-coming soon!","Get ready for the exciting CLASH 2V2 with @isa.cuhk-coming soon!  Rules: - ‍‍ Pick your own teammates - Maximum of 1 evolution per deck allowed - All games will be recorded - Onsite finale (Top 4) will be broadcast with a live audience Tournament Structure: - First Round:  - Expecting 24 teams  -...","Dec 2025","1765796518"
"160","ig-160.jpg","Remember those first-year nerves?","Remember those first-year nerves?  Now's your chance to give back! Become an iBuddy mentor at CUHK!  We're looking for senior students (Year 2 and above) to help incoming freshmen feel at home on campus.   As a mentor, you'll connect with 1-2 mentees through group chats or fun meet-ups. Share you...","Jul 2025","1752146664"
"161","ig-161.jpg","Get ready for the exciting CLASH 2V2 with @isa.cuhk-coming soon!","Get ready for the exciting CLASH 2V2 with @isa.cuhk-coming soon!  Rules: - ‍‍ Pick your own teammates - Maximum of 1 evolution per deck allowed - All games will be recorded - Onsite finale (Top 4) will be broadcast with a live audience Tournament Structure: - First Round:  - Expecting 24 teams  -...","Dec 2025","1765796518"
"162","ig-162.jpg","Remember those first-year nerves?","Remember those first-year nerves?  Now's your chance to give back! Become an iBuddy mentor at CUHK!  We're looking for senior students (Year 2 and above) to help incoming freshmen feel at home on campus.   As a mentor, you'll connect with 1-2 mentees through group chats or fun meet-ups. Share you...","Jul 2025","1752141887"
"163","ig-163.jpg","WE SEE YOU, FRESHMEN!","WE SEE YOU, FRESHMEN!  A massive thank you to everyone who joined our ISA Meet & Greet today! The energy was everything! We loved meeting each and every one of you and can't wait for all the events we have planned this year. Get ready for a year of fun, friendship, and fantastic memories! Welcome...","Sep 2025","1757918150"
"164","ig-164.jpg","Get ready for the exciting CLASH 2V2 with @isa.cuhk-coming soon!","Get ready for the exciting CLASH 2V2 with @isa.cuhk-coming soon!  Rules: - ‍‍ Pick your own teammates - Maximum of 1 evolution per deck allowed - All games will be recorded - Onsite finale (Top 4) will be broadcast with a live audience Tournament Structure: - First Round:  - Expecting 24 teams  -...","Dec 2025","1765796518"
"165","ig-165.jpg","Get ready for the exciting CLASH 2V2 with @isa.cuhk-coming soon!","Get ready for the exciting CLASH 2V2 with @isa.cuhk-coming soon!  Rules: - ‍‍ Pick your own teammates - Maximum of 1 evolution per deck allowed - All games will be recorded - Onsite finale (Top 4) will be broadcast with a live audience Tournament Structure: - First Round:  - Expecting 24 teams  -...","Dec 2025","1765796518"
"166","ig-166.jpg","Find the support system you need!","Find the support system you need!   Join us for the ISA CUHK X HKUST Jockey Club Career Workshop(our first collab !) where opportunity meets ambition!  Date:28 November   Time: 6:30 PM - 8 PM  YIA 402 Sign Up to receive light snacks and refreshments at the event!  Registration link : https://docs...","Nov 2025","1763648097"
"167","ig-167.jpg","Back when life was simpler and the drops were louder.","Back when life was simpler and the drops were louder.  A 2016 throwback night full of iconic 2010s hits, neon colors, and dancefloor memories you forgot you had . Come dressed white to sweat, paint, scream lyrics, and relive your lush life. Time's running closer. Get in before it's too late Time:...","Jan 2026","1769304136"
"168","ig-168.jpg","WE SEE YOU, FRESHMEN!","WE SEE YOU, FRESHMEN!  A massive thank you to everyone who joined our ISA Meet & Greet today! The energy was everything! We loved meeting each and every one of you and can't wait for all the events we have planned this year. Get ready for a year of fun, friendship, and fantastic memories! Welcome...","Sep 2025","1757918150"
