"idx","file","title","caption","date","ts"
"45","ig-045.jpg","The mastermind behind our magical events! Our event managers are re...","The mastermind behind our magical events! Our event managers are ready to bring people together and create unforgettable experiences for everyone Well, since our event managers are too ready to work so self intro is a bit too long to put in this caption. So please find it in our comment section!","May 2026","1778907863"
"46","ig-046.jpg","officially beginning this new 17th chapter together","officially beginning this new 17th chapter together  Thank you to everyone who attended and celebrated with us, as well as to all the student societies and friends who sent their support and warm wishes despite not being able to join us in person. We truly appreciate all the encouragement and loo...","May 2026","1778650393"
"47","ig-047.jpg","Remember those first-year nerves?","Remember those first-year nerves?  Now's your chance to give back! Become an iBuddy mentor at CUHK!  We're looking for senior students (Year 2 and above) to help incoming freshmen feel at home on campus.   As a mentor, you'll connect with 1-2 mentees through group chats or fun meet-ups. Share you...","Jul 2025","1752149162"
"48","ig-048.jpg","It was such a wonderful time having you guys on boat! See you next...","It was such a wonderful time having you guys on boat! See you next summer‍  #thechineseuniversityofhongkong #boatparty #isacuhk #中大 #internationalstudent #summer","Oct 2025","1761397384"
"49","ig-049.jpg","Our money guardians Treasurers keep all our funds safe and ready to...","Our money guardians Treasurers keep all our funds safe and ready to turn every cents into profit  Jessica : Hi everyone I'm Jessica, one of the treasurers for this year's cabinet! I'm a second-year Indonesian student majoring in Professional Accountancy (ironically, I'm not a fan of math at all )...","May 2026","1778914800"
"50","ig-050.jpg","ISA CUHK","ISA CUHK","Jun 2026","1782325084"
"51","ig-051.jpg","Boss mode: ON Our president is leading steering the ship with her b...","Boss mode: ON Our president is leading steering the ship with her beauty, vision, and charisma   Hola amigosss, I'm Aashni - no, I'm not Spanish, I just like saying that   I'm your President for ISA's 17th Cabinet and a first-year IBBA student from Kathmandu, Nepal. You'll probably see me somewhe...","May 2026","1778920200"
"52","ig-052.jpg","We want YOU on our team!","We want YOU on our team!  ISA is now recruiting POD Leaders for ISA Meet-and-Greet Days 2026!  Once, you were the one stepping into CUHK with questions, nerves, and excitement. Now, it's your turn to be that familiar face who helps freshmen feel welcomed, guided, and at home.  This is your chance...","May 2026","1779106918"
"53","ig-053.jpg","Here are a few words from Myles Ng, Co-founder of PrepAsia, BlackRo...","Here are a few words from Myles Ng, Co-founder of PrepAsia, BlackRock Associate, and CUHK alumnus from the Philippines  If you've been waiting for a sign to start your career journey, this is it. Join us at The 2026 PrepAsia × ISA Bootcamp and take that first real step toward breaking into Hong K...","Mar 2026","1774063913"
"54","ig-054.jpg","It was such a wonderful time having you guys on boat! See you next...","It was such a wonderful time having you guys on boat! See you next summer‍  #thechineseuniversityofhongkong #boatparty #isacuhk #中大 #internationalstudent #summer","Oct 2025","1761397384"
